name,official_school_name,place_id,Number who sat the Leaving Cert in June 2017,UCD,TCD,DCU,UL,Maynooth University,NUIG,UCC,St. Angela’s,QUB,Ulster University,Blanchardstown IT,National College of Ireland,DIT,Tallaght,Athlone IT,CIT,Dundalk,Galway-Mayo IT,IADT,IT Carlow,IT Sligo,IT Tralee,IT Letterkenny,IT Limerick,IT Waterford,Marino Institute of Education,Mary Immaculate,NCAD,RCSI,Griffith College,Dublin Business School,Irish College for Humanities and Applied Sciences,Total number (all years) who,  Totalprogression(allyears)to 
"Regina Mundi College, Douglas Road, Cork City",Regina Mundi College,ChIJT3FD51OFREgRSM6MGK-bZYc,78,2,1,0,0,1,0,51,0,0,0,0,0,0,0,0,12,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,71,0.91
"Scoil Mhuire, Beal Athan Ghaorthaidh",Scoil Mhuire,ChIJf8d05l0bRUgR0TefNrXeW8Q,20,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,18,0.9
"*Scoil Mhuire, 1/2/3 Sidney Place, Wellington Road, Cork City",Scoil Mhuire Junior School,ChIJt61qmw6QREgRbzobu0rl5uo,57,1,5,1,1,0,1,40,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0.89
"Hamilton High School, Laurel Walk, Bandon",Hamilton High School,ChIJs6HMUCj0REgRqBF7KlQdZvI,57,0,0,0,1,0,1,28,0,0,0,0,0,0,0,0,14,0,1,0,2,0,0,0,1,2,0,1,0,0,0,0,0,51,0.89
"Community School, Innishmore, Ballincollig",Ballincollig Community School,ChIJO_idY26SREgRL0Qsow9CdYo,121,0,0,0,4,0,2,47,0,0,0,0,0,0,0,0,43,0,1,0,1,0,0,0,0,3,0,6,0,0,1,0,0,108,0.89
"Ashton Comprehensive School, Blackrock Road, Cork City",Ashton Comprehensive School,ChIJq60xs7aaREgRsS6Qx-q1QRY,83,0,1,2,3,0,0,39,0,0,0,0,0,2,0,1,22,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,74,0.89
"Coláiste an Chroi Naofa, Carraig na Bhfear, Corcaigh",Colaiste An Chroi Naofa,ChIJI6rYNOeZREgRsO1Jj7pNEGY,78,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,35,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,69,0.88
"Patrician Academy, Mallow",Patrician Academy,ChIJ4YP25le5REgRw5ouctqSSWo,59,0,0,0,13,0,0,13,0,0,0,0,0,1,0,1,18,0,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,52,0.88
"St Aloysius School, St Maries of The Isle, Sharmon, Crawford Street",St Charles Preparatory School,ChIJF0OoTlSIOIgRiNCFzDOzXas,39,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,34,0.87
"Mount St Michael’s, Rosscarbery",Mount Saint Michael's Secondary School,ChIJM9lUOFNTREgRBu1XPMF6BT0,66,2,1,1,4,0,1,20,0,0,0,0,0,3,0,1,17,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,1,57,0.86
