name official_school_name	Address 1	Address 2	Address 3	Address 4	Address 42	County
Scoil Mhuire	Scoil Mhuire Kanturk	Kanturk	Co Cork			"Kanturk, Co Cork"	Cork
Colaiste An Phiarsaigh	Coláiste an Phiarsaigh	Gleann Maghair	Corcaigh			"Gleann Maghair, Corcaigh"	Cork
De La Salle College	De La Salle College	Macroom	Co Cork			"Macroom, Co Cork"	Cork
St Mary?S Secondary School	St. Mary?s Secondary School	Convent Of Mercy	Macroom	Co. Cork		"Convent Of Mercy, Macroom, Co. Cork"	Cork
Patrician Academy	Patrician Academy	Mallow	Co Cork			"Mallow, Co Cork"	Cork
St Mary?s Secondary School	St Mary?s Secondary School	Convent Of Mercy	Mallow	Co Cork		"Convent Of Mercy, Mallow, Co Cork"	Cork
Christian Brothers Secondary School	Christian Brothers Secondary School	Castleredmond	Midleton	Co Cork		"Castleredmond, Midleton, Co Cork"	Cork
Midleton College	Midleton College	Midleton	Co Cork			"Midleton, Co Cork"	Cork
St Mary?s High School	St. Mary?s High School	Midleton	Co Cork			"Midleton, Co Cork"	Cork
Christian Brothers Secondary School	Christian Brothers Secondary School	Mitchelstown	Co Cork			"Mitchelstown, Co Cork"	Cork
Presentation Secondary School	Presentation Secondary School	Mitchelstown	Co Cork			"Mitchelstown, Co Cork"	Cork
Scoil na mBráithre Chríostaí	Scoil na mBraithre	Bakers Road	Charleville	Co Cork		"Bakers Road, Charleville, Co Cork"	Cork
St Francis Capuchin College	St Francis Capuchin College	Rochestown	Co Cork			"Rochestown, Co Cork"	Cork
Mount St Michael	Mount Saint Michael?s Secondary School	Rosscarbery	Co Cork			"Rosscarbery, Co Cork"	Cork
Christian Brothers College	Christian Brother?s College Cork	Sidney Hill	Wellington Road	Cork.		"Sidney Hill, Wellington Road, Cork."	Cork
North Monastery Secondary School	North Monastery Secondary School	Our Lady?s Mount	North Monastery Rd.	Cork		"Our Lady?s Mount, North Monastery Rd., Cork"	Cork
Gaelcholáiste Mhuire	"Gaelcholáiste Mhuire, A.G. North Monastery"	An Mhainistir Thuaidh	Corcaigh			"An Mhainistir Thuaidh, Corcaigh"	Cork
Deerpark C.B.S.	Deerpark C.B.S.	St Patrick?s Road	Cork			"St Patrick?s Road, Cork"	Cork
Coláiste Chríost Rí	Colaiste Chriost Ri	Capwell Road	Cork			"Capwell Road, Cork"	Cork
Presentation Brothers College	Presentation Brothers College	The Mardyke	Cork			"The Mardyke, Cork"	Cork
Coláiste An Spioraid Naoimh	Coláiste an Spioraid Naoimh	Bishopstown	Cork			"Bishopstown, Cork"	Cork
St Vincent?s Secondary School	St Vincents Secondary School	St Mary?s Road	Cork			"St Mary?s Road, Cork"	Cork
North Presentation Secondary School	North Presentation Secondary School	Farranree	Cork			"Farranree, Cork"	Cork
St Aloysius School	St Maries of the Isle National School	St Maries Of The Isle	Sharman Crawford Street	Cork		"St Maries Of The Isle, Sharman Crawford Street, Cork"	Cork
